id,valor,peso,volumen,categoria
368,365,32,88,3
369,398,69,82,3
370,445,72,38,5
371,468,63,31,3
372,750,44,51,3
373,240,36,90,2
374,390,54,55,1
375,908,23,63,3
376,125,44,94,2
377,632,74,34,4
378,148,17,80,5
379,624,50,54,4
380,895,58,79,5
381,160,76,32,4
382,256,78,75,1
383,43,21,57,4
384,765,50,88,4
385,349,11,83,3
386,119,38,85,3
387,136,61,40,3
388,800,54,15,3
389,237,41,73,4
390,723,2,65,3
391,697,57,55,4
392,259,60,35,5
393,189,96,91,2
394,588,23,41,3
395,467,29,95,4
396,161,92,59,1
397,511,11,62,2
398,27,73,88,3
399,933,11,57,5
400,700,80,93,1
401,710,66,16,4
402,581,38,61,1
403,430,8,74,1
404,935,85,93,5
405,456,13,12,2
406,985,17,84,1
407,133,84,93,2
408,872,32,52,2
409,595,61,40,2
410,64,75,34,2
411,805,79,1,4
412,340,12,40,3
413,542,87,92,5
414,353,47,35,3
415,740,92,46,3
416,232,4,46,5
417,149,25,18,3
418,503,17,42,1
419,916,32,37,4
420,585,28,64,2
421,22,22,67,3
422,186,98,97,3
423,157,56,42,5
424,94,54,100,1
425,507,30,60,2
426,76,40,75,3
427,218,80,90,2
428,213,47,20,4
429,46,38,48,5
430,569,59,7,2
431,778,72,46,3
432,529,54,45,3
433,407,50,56,4
434,163,11,19,2
435,864,8,95,4
436,379,28,28,5
437,648,53,41,5
438,35,98,16,5
439,719,87,66,3
440,36,56,23,2
441,238,20,68,3
442,29,60,11,2
443,802,57,18,5
444,656,56,24,4
445,108,81,25,5
446,725,61,86,5
447,832,97,40,5
448,672,15,21,3
449,300,33,90,1
450,22,64,9,4
451,216,85,3,1
452,189,88,59,4
453,427,71,90,5
454,820,63,35,2
455,267,83,38,2
456,594,4,27,5
457,628,35,41,4
458,557,37,44,5
459,301,22,95,5
460,766,78,15,1
461,870,57,49,5
462,896,48,80,1
463,431,49,3,3
464,276,75,55,4
465,637,41,26,2
466,148,65,84,3
467,985,14,53,5
468,180,70,28,4
469,28,83,92,3
470,126,82,58,3
471,281,7,56,3
472,655,50,83,4
473,214,11,2,1
474,145,27,91,2
475,876,74,60,2
476,605,64,67,3
477,183,58,92,5
478,425,41,39,4
479,524,43,5,2
480,174,96,74,1
481,92,10,61,4
482,253,7,39,5
483,296,44,36,5
484,722,73,30,4
485,571,95,48,2
486,667,96,94,1
487,735,49,22,2
488,40,54,27,1
489,599,85,6,5
490,501,96,60,1
491,341,63,78,3
492,115,35,8,2
493,731,42,50,4
494,692,60,44,3
495,254,8,82,1
496,802,1,70,5
497,279,1,60,1
498,367,32,10,5
499,919,97,14,4
500,951,70,45,3
501,193,9,55,5
502,875,76,74,4
503,809,76,66,4
504,696,64,85,5
505,257,91,49,4
506,229,70,99,1
507,945,67,4,1
508,709,59,93,5
509,188,56,57,3
510,917,32,4,1
511,701,74,30,1
512,926,12,98,3
513,945,80,48,4
514,864,6,85,3
515,326,53,83,4
516,46,66,60,2
517,237,57,13,3
518,86,89,70,3
519,346,45,73,3
520,74,58,32,5
521,544,54,80,4
522,325,74,63,3
523,888,43,62,5
524,240,42,3,3
525,872,100,3,1
526,876,19,53,2
527,940,94,80,1
528,998,1,36,1
529,770,9,41,1
530,485,48,63,3
531,875,28,99,2
532,771,10,42,2
533,427,53,74,4
534,246,1,12,3
535,361,30,29,5
536,303,72,24,3
537,51,28,2,5
538,988,5,43,1
539,390,40,68,1
540,226,96,95,4
541,789,26,9,3
542,423,99,88,5
543,946,61,47,5
544,617,99,17,4
545,992,7,24,3
546,944,84,65,2
547,612,84,52,1
548,238,5,18,2
549,228,4,19,5
550,782,83,36,5
551,67,63,97,2
552,885,52,93,3
553,995,53,18,2
554,402,52,76,3
555,699,100,16,5
556,818,47,23,4
557,231,75,54,1
558,597,90,59,5
559,100,46,88,2
560,273,28,13,3
561,890,5,96,5
562,864,4,81,2
563,659,94,56,4
564,96,29,41,2
565,379,1,26,4
566,726,5,50,3
567,90,97,23,1
568,687,90,8,5
569,853,7,50,5
570,486,52,60,5
571,827,58,35,4
572,681,55,57,5
573,274,74,88,3
574,800,87,66,2
575,852,16,87,1
576,711,34,84,2
577,701,94,69,1
578,623,70,76,1
579,167,89,89,5
580,873,47,3,5
581,828,1,13,5
582,342,23,75,5
583,169,1,82,3
584,834,76,51,2
585,16,20,29,1
586,621,33,99,3
587,636,12,26,2
588,638,1,54,5
589,782,13,11,2
590,764,2,55,3
591,964,85,35,2
592,636,18,94,4
593,111,79,94,1
594,691,78,7,5
595,308,17,71,4
596,76,71,59,3
597,352,6,63,1
598,55,86,88,5
599,974,68,97,3
600,752,65,14,3
601,761,39,3,1
602,31,83,33,2
603,494,82,78,2
604,687,1,45,1
605,281,47,100,5
606,432,11,46,5
607,172,53,80,5
608,697,30,23,5
609,91,78,69,2
610,658,14,28,5
611,952,97,16,1
612,438,74,95,5
613,425,86,64,5
614,404,77,28,3
615,985,32,41,2
616,896,73,23,4
617,221,21,4,5
618,655,72,37,3
619,866,48,48,3
620,969,16,19,2
621,870,10,78,1
622,773,46,85,3
623,764,2,63,4
624,140,30,4,5
625,922,97,62,1
626,799,47,49,1
627,126,60,13,4
628,689,25,44,3
629,208,23,50,1
630,73,66,59,2
631,276,60,80,3
632,317,99,46,1
633,21,47,8,4
634,398,40,48,5
635,604,73,30,4
636,698,76,87,5
637,782,91,4,4
638,486,75,11,1
639,249,11,99,3
640,151,2,50,3
641,622,22,71,2
642,564,78,1,5
643,333,8,52,3
644,97,89,36,1
645,42,83,8,2
646,403,33,14,5
647,572,21,69,4
648,803,83,21,1
649,175,68,11,5
650,640,13,71,5
651,41,60,94,4
652,61,62,55,2
653,712,94,88,5
654,717,63,81,4
655,346,62,82,3
656,89,67,90,3
657,552,60,82,4
658,458,49,65,1
659,531,17,74,3
660,90,73,7,3
661,254,66,16,3
662,873,62,22,2
663,977,48,34,4
664,190,88,79,3
665,662,5,50,1
666,560,3,72,4
667,236,34,100,3
668,976,50,66,1
669,207,41,69,2
670,81,42,4,2
671,265,85,47,1
672,870,97,73,3
673,746,85,43,4
674,352,74,38,4
675,988,51,5,3
676,869,52,58,3
677,444,3,73,2
678,492,61,88,3
679,902,80,43,4
680,284,100,60,2
681,914,36,22,2
682,627,47,64,5
683,736,24,14,4
684,719,41,91,4
685,188,64,24,2
686,972,52,19,3
687,856,7,50,3
688,255,10,88,3
689,451,60,52,3
690,366,67,60,1
691,172,66,40,2
692,970,40,26,5
693,660,1,33,3
694,776,60,14,2
695,971,24,46,2
696,243,89,8,3
697,178,34,52,3
698,343,67,83,1
699,437,45,25,3
700,621,95,71,2
701,175,36,17,2
702,46,61,74,2
703,667,54,48,4
704,846,71,81,3
705,590,87,87,3
706,213,54,12,1
707,277,99,6,1
708,536,24,94,1
709,48,65,13,2
710,458,19,94,1
711,323,11,51,3
712,51,69,15,2
713,987,48,97,4
714,14,2,96,2
715,643,98,87,3
716,460,26,52,3
717,494,35,67,3
718,148,13,3,1
719,315,15,71,5
720,210,74,68,1
721,971,19,10,4
722,676,16,45,2
723,870,97,18,2
724,696,67,84,5
725,946,38,69,1
726,502,25,62,5
727,871,87,58,4
728,40,12,94,4
729,693,92,68,4
730,223,95,66,5
731,400,67,66,3
732,115,35,66,1
733,1000,61,5,2
734,978,87,41,5
735,872,76,79,1
736,571,29,74,1
737,880,66,41,4
738,334,93,67,3
739,810,91,77,5
740,800,32,44,5
741,820,38,13,2
742,549,65,1,2
743,331,64,37,4
744,402,57,70,2
745,395,55,45,3
746,245,55,38,3
747,235,2,8,3
748,608,17,67,4
749,623,76,47,3
750,386,55,87,5
751,524,85,48,5
752,35,82,35,1
753,386,15,40,3
754,584,25,54,3
755,612,40,77,3
756,815,75,72,4
757,956,53,2,5
758,204,44,1,5
759,651,8,90,5
760,251,66,93,2
761,69,20,94,3
762,358,20,11,1
763,491,62,26,3
764,292,68,31,5
765,805,54,54,3
766,318,9,62,4
767,719,40,28,5
768,419,83,13,3
769,189,13,69,5
770,189,80,53,1
771,712,30,11,4
772,572,19,26,5
773,964,43,49,1
774,808,82,56,2
775,53,53,64,1
776,952,1,61,4
777,821,52,89,3
778,236,80,22,4
779,615,18,42,2
780,842,91,91,4
781,360,56,24,2
782,783,31,28,4
783,825,86,43,4
784,671,81,10,4
785,628,15,46,3
786,591,16,17,2
787,740,87,87,3
788,224,54,10,1
789,33,32,65,2
790,611,21,55,4
791,239,26,40,4
792,599,6,50,1
793,988,28,14,3
794,698,68,41,3
795,434,45,72,4
796,696,2,100,2
797,137,82,11,4
798,727,34,58,5
799,281,78,8,2
800,94,65,90,3
801,200,41,33,2
802,234,35,36,4
803,78,45,52,5
804,77,67,81,1
805,241,65,55,2
806,882,60,66,4
807,538,24,33,3
808,340,20,67,1
809,995,38,67,2
810,562,100,74,3
811,471,34,7,3
812,567,9,96,5
813,183,64,70,4
814,209,18,54,3
815,105,43,46,5
816,759,1,35,2
817,668,99,80,3
818,928,39,24,1
819,405,98,16,1
820,993,74,93,4
821,545,25,85,4
822,526,10,63,2
823,98,79,76,5
824,136,61,83,3
825,784,16,71,1
826,45,12,31,2
827,270,35,37,2
828,96,35,94,2
829,558,51,31,5
830,403,28,45,5
831,605,88,52,1
832,921,79,50,3
833,993,57,86,2
834,216,51,94,2
835,125,54,82,4
836,387,68,88,3
837,870,73,81,1
838,792,22,31,5
839,90,33,41,1
840,181,16,70,2
841,352,96,98,3
842,645,94,83,3
843,141,48,87,2
844,924,61,49,1
845,610,90,77,5
846,183,32,51,5
847,405,83,15,4
848,374,13,7,3
849,35,51,14,2
850,964,8,55,4
851,967,13,44,3
852,319,94,51,5
853,445,28,11,5
854,645,1,22,1
855,624,61,66,2
856,160,39,7,3
857,783,20,46,2
858,67,49,100,4
859,67,62,70,2
860,984,44,24,1
861,150,8,13,4
862,310,27,11,1
863,695,70,7,4
864,514,64,100,2
865,816,24,62,2
866,313,18,63,4
867,532,85,43,4
868,139,80,89,3
869,455,66,20,2
870,374,53,42,3
871,830,18,74,2
872,772,97,2,2
873,422,14,49,3
874,29,80,26,3
875,763,69,14,1
876,540,62,22,2
877,22,84,25,4
878,977,20,81,1
879,960,5,49,2
880,118,27,55,4
881,460,50,85,2
882,107,15,49,1
883,158,87,33,2
884,740,66,48,5
885,382,62,40,5
886,465,40,79,5
887,894,14,96,1
888,789,66,32,5
889,691,81,44,1
890,262,28,85,5
891,48,26,91,4
892,467,83,64,3
893,663,39,90,3
894,640,23,62,5
895,76,46,52,5
896,158,11,74,5
897,517,45,69,1
898,51,4,9,4
899,719,66,8,5
900,80,11,2,1
901,957,51,74,2
902,360,47,30,5
903,356,98,78,5
904,665,79,19,2
905,182,42,10,3
906,664,84,77,1
907,272,43,3,1
908,91,52,97,5
909,302,79,77,2
910,629,98,39,4
911,213,2,13,2
912,619,27,78,1
913,648,96,54,3
914,51,90,97,2
915,801,13,30,3
916,981,12,61,3
917,587,93,75,3
918,814,62,66,1
919,136,5,34,1
920,929,60,23,1
921,378,38,44,3
922,445,39,62,1
923,944,28,25,5
924,130,68,20,3
925,888,2,65,5
926,293,68,82,2
927,863,88,85,2
928,920,55,26,4
929,758,23,47,5
930,844,75,73,3
931,779,19,66,1
932,185,33,55,4
933,985,27,94,3
934,52,73,17,1
935,140,69,73,1
936,820,97,22,3
937,511,16,85,2
938,736,42,55,4
939,595,75,51,4
940,304,11,57,1
941,692,10,88,3
942,640,88,77,3
943,168,17,47,3
944,19,82,25,4
945,729,89,100,2
946,108,20,41,5
947,802,66,21,2
948,560,75,74,5
949,620,62,19,4
950,362,38,79,3
951,559,53,1,5
952,764,84,4,5
953,749,2,21,4
954,959,76,37,4
955,333,76,15,5
956,312,48,88,3
957,997,13,37,2
958,454,65,73,4
959,888,22,60,1
960,398,67,42,1
961,699,18,1,1
962,624,17,36,1
963,797,39,10,3
964,592,88,49,3
965,646,73,7,1
966,584,23,57,4
967,565,6,61,3
968,680,60,81,4
969,277,3,83,2
970,503,64,8,1
971,68,70,34,4
972,787,99,71,2
973,791,83,52,3
974,446,38,15,1
975,335,74,44,2
976,97,38,23,1
977,602,81,74,4
978,999,74,94,2
979,646,18,43,4
980,640,50,79,1
981,127,69,41,5
982,842,75,39,4
983,576,96,59,2
984,192,57,37,5
985,341,17,3,4
986,33,59,84,3
987,280,70,52,5
988,306,79,95,1
989,266,86,43,2
990,874,38,85,3
991,194,49,81,3
992,464,94,49,4
993,142,64,9,1
994,731,91,50,5
995,442,79,73,1
996,768,6,16,2
997,614,14,14,2
998,754,93,66,3
999,958,2,7,2
1000,66,5,29,1
1001,269,28,25,2
1002,908,79,25,5
1003,279,38,76,3
1004,455,85,78,2
1005,74,16,49,5
1006,43,5,7,4
1007,908,57,14,2
1008,537,32,42,4
1009,354,9,90,2
1010,31,74,67,3
1011,964,13,57,5
1012,938,40,6,5
1013,425,79,27,4
1014,734,50,99,5
1015,264,15,66,4
1016,206,20,57,2
1017,469,31,98,5
1018,613,97,35,1
1019,123,3,16,4
1020,233,42,26,1
1021,852,69,57,3
1022,528,99,12,2
1023,862,41,73,3
1024,77,80,71,3
1025,548,62,9,2
1026,464,85,49,3
1027,174,15,95,4
1028,852,22,67,1
1029,468,87,42,3
1030,655,75,55,2
1031,71,79,52,1
1032,809,36,46,5
1033,61,80,79,3
1034,209,34,26,5
1035,173,55,34,4
1036,759,76,52,1
1037,213,13,88,4
1038,881,17,88,2
1039,246,95,46,3
1040,986,76,78,3
1041,36,56,7,1
1042,469,35,91,2
1043,543,40,50,4
1044,114,38,66,3
1045,824,40,39,1
1046,778,45,97,1
1047,211,19,53,1
1048,294,36,80,4
1049,582,28,64,2
1050,800,65,40,1
1051,916,90,54,3
1052,166,45,70,3
1053,796,17,32,4
1054,859,37,91,5
1055,284,17,99,3
1056,149,60,21,1
1057,192,37,90,4
1058,658,83,16,2
1059,446,80,62,5
1060,92,86,89,1
1061,806,74,51,2
1062,968,99,42,3
1063,985,13,67,4
1064,638,33,17,5
1065,883,98,43,4
1066,170,13,2,4
1067,564,10,53,1
1068,722,83,90,2
1069,88,38,74,5
1070,195,34,86,2
1071,821,92,55,1
1072,713,76,32,5
1073,476,91,83,4
1074,465,32,36,2
1075,499,82,83,5
1076,342,53,18,2
1077,715,12,83,1
1078,109,72,24,3
1079,150,91,35,4
1080,456,20,75,4
1081,655,44,63,3
1082,359,74,85,5
1083,477,85,98,2
1084,638,4,13,4
1085,680,11,33,2
1086,690,1,7,4
1087,183,17,86,4
1088,235,100,84,1
1089,286,8,65,2
1090,697,87,52,2
1091,312,37,22,1
1092,42,77,31,3
1093,657,76,94,5
1094,873,24,77,5
1095,791,6,67,5
1096,267,66,91,5
1097,674,1,57,1
1098,119,39,45,2
1099,466,23,87,2
1100,551,13,39,3
1101,978,81,12,3
1102,428,2,5,3
1103,743,3,92,5
1104,287,13,86,4
1105,299,98,92,5
1106,757,70,81,5
1107,27,99,97,4
1108,730,56,31,4
1109,831,54,29,4
1110,874,45,12,2
1111,707,13,55,1
1112,105,27,25,1
1113,22,57,47,2
1114,308,83,60,1
1115,304,23,30,4
1116,746,60,5,1
1117,904,88,86,5
1118,671,34,60,2
1119,894,99,19,4
1120,88,54,24,5
1121,797,29,4,3
1122,587,27,100,4
1123,857,58,53,4
1124,73,26,84,2
1125,603,49,12,4
1126,103,53,91,1
1127,673,87,83,1
1128,881,96,58,1
1129,522,70,44,1
1130,324,92,44,3
1131,776,14,61,2
1132,894,17,45,1
1133,611,95,64,3
1134,596,79,71,4
1135,245,68,52,1
1136,113,24,39,4
1137,493,98,66,2
1138,951,28,61,3
1139,746,99,51,2
1140,638,41,8,5
1141,262,1,37,1
1142,478,61,5,5
1143,148,24,28,3
1144,972,46,34,3
1145,487,63,20,3
1146,615,45,29,3
1147,215,60,52,3
1148,15,86,1,1
1149,227,84,4,5
1150,117,29,34,3
1151,805,44,58,2
1152,518,40,30,1
1153,933,28,40,5
1154,96,29,62,5
1155,122,54,35,5
1156,512,58,88,1
1157,499,68,71,1
1158,993,46,14,5
1159,282,17,40,2
1160,428,73,42,5
1161,909,68,72,2
1162,612,68,31,2
1163,826,72,96,5
1164,823,73,1,5
1165,640,1,6,4
1166,265,83,6,1
1167,608,88,69,2
1168,123,67,39,5
1169,462,67,37,1
1170,129,60,42,3
1171,754,91,8,3
1172,89,33,36,4
1173,943,42,67,4
1174,682,65,37,5
1175,598,60,2,3
1176,640,14,92,1
1177,617,16,88,1
1178,727,64,13,4
1179,904,53,7,5
1180,539,100,15,5
1181,21,70,43,3
1182,302,45,49,1
1183,582,40,5,5
1184,131,81,56,2
1185,350,47,73,5
1186,656,7,85,2
1187,696,86,43,3
1188,676,8,28,3
1189,313,87,79,3
1190,452,23,80,2
1191,825,46,86,3
1192,918,76,44,1
1193,325,89,59,1
1194,377,38,61,1
1195,709,40,69,3
1196,381,52,17,1
1197,436,65,15,1
1198,892,77,35,5
1199,163,34,3,3
1200,650,38,64,1
1201,347,39,8,4
1202,415,60,32,1
1203,681,85,61,3
1204,371,85,22,3
1205,989,56,46,1
1206,692,17,15,5
1207,491,23,3,5
1208,510,54,97,1
1209,390,10,4,2
1210,40,93,39,3
1211,168,40,3,2
1212,759,15,46,3
1213,296,14,91,5
1214,125,38,96,2
1215,321,48,89,3
1216,607,100,83,3
1217,985,9,29,4
1218,962,16,39,1
1219,392,98,35,4
1220,546,99,16,3
1221,558,54,55,1
1222,765,25,84,5
1223,446,36,31,5
1224,267,71,20,1
1225,67,51,35,4
1226,277,24,97,5
1227,562,55,35,1
1228,585,59,14,5
1229,450,16,63,5
1230,494,21,41,4
1231,994,74,89,2
1232,627,33,57,4
1233,625,47,21,4
1234,401,15,4,5
1235,481,72,55,5
1236,235,14,97,3
1237,911,60,73,2
1238,538,46,87,1
1239,139,75,80,3
1240,133,6,80,4
1241,283,47,88,1
1242,945,97,15,5
1243,468,52,99,1
1244,489,76,87,3
1245,593,31,38,3
1246,293,53,21,3
1247,764,45,39,4
1248,516,92,50,2
1249,582,73,87,5
1250,981,46,41,3
1251,830,61,77,3
1252,578,81,96,3
1253,208,100,11,1
1254,856,1,44,4
1255,849,30,90,2
1256,71,32,89,2
1257,454,4,52,5
1258,630,23,93,4
1259,28,77,48,5
1260,691,4,73,5
1261,696,53,14,4
1262,306,65,36,5
1263,807,34,28,4
1264,218,53,96,4
1265,18,100,100,2
1266,680,100,83,1
1267,301,1,2,1
1268,741,35,84,4
1269,743,7,15,1
1270,756,94,77,5
1271,662,81,77,5
1272,848,71,62,1
1273,97,40,49,4
1274,86,29,41,4
1275,413,3,7,2
1276,355,55,12,4
1277,810,58,95,4
1278,81,1,96,1
1279,527,87,30,4
1280,86,12,51,5
1281,797,25,71,3
1282,59,15,8,4
1283,409,67,30,2
1284,240,87,29,3
1285,806,30,93,1
1286,411,27,91,1
1287,328,59,48,5
1288,233,55,65,2
1289,980,4,61,2
1290,364,42,65,4
1291,131,19,89,4
1292,508,87,45,3
1293,590,83,63,3
1294,81,64,69,3
1295,249,47,72,2
1296,825,31,81,2
1297,557,57,53,1
1298,151,92,78,4
1299,278,41,50,1
1300,291,89,14,5
1301,633,73,6,2
1302,751,41,32,1
1303,10,19,52,4
1304,56,72,28,3
1305,710,90,7,3
1306,841,47,1,2
1307,254,95,75,1
1308,323,94,11,5
1309,366,13,28,3
1310,845,87,32,3
1311,791,91,90,5
1312,439,43,91,2
1313,383,94,97,4
1314,98,12,69,1
1315,499,57,39,5
1316,637,85,71,4
1317,14,14,17,2
1318,716,88,67,1
1319,967,28,77,1
1320,952,68,71,5
1321,305,27,11,3
1322,784,64,65,5
1323,57,11,37,3
1324,958,39,51,5
1325,438,48,46,1
1326,217,64,37,4
1327,376,1,6,5
1328,770,19,42,3
1329,824,42,86,4
1330,220,38,66,5
1331,478,74,89,4
1332,223,80,68,4
1333,612,4,30,2
1334,145,94,66,1
1335,741,74,32,5
1336,649,6,40,4
1337,716,47,20,3
1338,892,9,29,1
1339,374,67,6,5
1340,120,79,52,3
1341,275,10,84,4
1342,24,25,38,5
1343,344,84,2,4
1344,133,95,42,1
1345,498,74,41,2
1346,536,91,60,2
1347,19,73,47,5
1348,964,5,52,2
1349,681,77,32,3
1350,777,27,78,2
1351,526,14,98,5
1352,134,58,2,1
1353,773,39,81,2
1354,129,19,27,3
1355,27,34,30,2
1356,776,74,52,2
1357,354,65,38,3
1358,11,57,30,4
1359,650,55,98,5
1360,849,68,3,3
